year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasbling,allamerican,hasawards,drafted
2002,jarvis green,Louisiana State,DE,75.1,272,4.85,,31,109,4.25,7.52,0,0,0,Y
2002,sean guthrie,Boston College,DE,76,269,4.9,28,,,,,0,0,0,N
2002,carlos hall,Arkansas,DE,75.6,259,4.68,20,40,125,4.19,6.97,0,0,0,Y
2002,alan harper,Frenso State (CA),DT,73.9,295,5.31,,30.5,104,4.64,,1,0,1,Y
2002,john henderson,Tennessee,DT,78.9,306,4.87,24,27.5,106,4.66,7.71,0,0,0,Y
2002,charles hill,Maryland,DT,74,293,5.08,23,33.5,111,4.36,7.37,0,0,0,Y
2002,grant irons,Notre Dame,DE,77.6,267,5.03,19,40.5,117,4.38,7.27,0,0,0,N
2002,dennis johnson,Kentucky,DE,76.6,258,4.84,17,35.5,113,4.36,7.21,0,0,0,Y
2002,brett keisel,Brigham Young,DE,77,279,4.93,26,33.5,106,4.51,7.28,0,0,0,Y
2002,antwan lake,West Virginia,DE,76.1,286,5.08,27,,,,,0,0,0,N
2002,derrius monroe,Virginia Tech,DE,75.8,269,4.59,25,31.5,99,4.51,7.38,0,0,0,Y
2002,brandon moore,Illinois,DT,75,293,5.26,32,25.5,96,4.64,7.84,0,0,0,N
2002,will overstreet,Tennessee,DE,74.9,259,4.62,21,32.5,114,4.31,7.37,0,0,0,Y
2002,anton palepoi,Nevada Las Vegas,DE,75.3,279,4.82,24,33.5,113,4.27,7.46,0,0,0,Y
2002,monsanto pope,Virginia,DT,75.5,295,5.26,,,,,,0,0,0,Y
2002,greg scott,Hampton (VA),DE,75.6,268,4.92,26,32.5,110,4.61,7.5,0,0,0,N
2002,josh shaw,Michigan State,DT,74.6,279,5.08,22,37.5,130,4.12,7.01,0,0,0,Y
2002,ryan sims,North Carolina,DT,76.1,311,5.09,27,,,,,0,0,0,Y
2002,john stamper,South Carolina,DE,76.1,265,4.97,24,36.5,110,4.22,7.35,0,0,0,Y
2002,connor stephens,Mississippi State,DE,76.4,256,4.93,20,36.5,119,4.55,7.5,0,0,0,N
2002,bryan thomas,Alabama-Birmingham,DE,76.4,266,4.52,33,34.5,,,,0,0,0,Y
2002,larry tripplett,Washington,DT,73.8,305,4.95,,30,100,4.35,,0,0,0,Y
2002,anthony weaver,Notre Dame,DT,75.5,296,4.96,24,32.5,108,4.31,7.37,0,0,0,Y
2002,greg white,Minnesota,DE,75.1,268,4.91,20,31.5,113,4.36,7.4,0,0,0,Y
2003,anthony adams,Penn State,DT,71.6,299,5.1,,30.5,109,4.57,7.67,0,0,0,Y
2003,tully bantacain,California,DE,74.1,264,4.79,25,,,,,0,0,0,Y
2003,tyler brayton,Colorado,DE,78.1,277,4.78,25,34,116,4.24,7.13,0,0,0,Y
2003,nick burley,Frenso State (CA),DE,75.6,243,4.82,26,32,108,4.56,7.72,0,0,0,N
2003,colin cole,Iowa,DT,73.6,309,5.28,29,31,103,4.67,7.84,0,0,0,N
2003,nick eason,Clemson,DT,75.3,301,5.14,29,,102,,,0,0,0,N
2003,aubrayo franklin,Tennessee,DT,73.5,307,5.2,,27,100,4.7,,0,0,0,Y
2003,brandon green,Rice (TX),DE,75,267,4.78,19,32,105,4.32,7.23,0,0,0,Y
2003,jamaal green,Miami (FL),DE,74.9,243,4.78,27,35.5,119,,,0,0,0,Y
2003,omari hand,Tennessee,DE,75.8,267,4.85,34,,,,,0,0,0,N
2003,michael haynes,Penn State,DE,75.6,281,4.89,23,30.5,109,,,1,0,1,Y
2003,raymond house,Arkansas,DE,74.4,277,5.14,20,32,120,4.32,7.53,0,0,0,N
2003,aaron hunt,Texas Tech,DE,74.5,267,4.84,24,30,106,4.48,7.68,0,0,0,Y
2003,alonzo jackson,Florida State,DE,76,266,4.9,14,37,114,4.45,7.69,0,0,0,Y
2003,jarret johnson,Alabama,DT,74.6,284,5.09,21,28.5,107,4.52,7.72,0,0,0,Y
2003,william joseph,Miami (FL),DT,77,308,4.95,29,,,,,0,0,0,Y
2003,chris kelsay,Nebraska,DE,76.4,273,4.76,23,36.5,121,,,0,0,0,Y
2003,kenny king,Alabama,DE,74.8,281,4.95,25,35,114,4.28,7.5,0,0,0,Y
2003,dan klecko,Temple,DT,71.5,283,4.91,26,33.5,111,4.4,7.51,1,0,1,Y
2003,tron lafavor,Florida,DT,73.9,290,5.08,26,28,106,,,0,0,0,Y
2003,james lee,Oregon State,DT,76.5,327,4.96,23,30,106,4.69,7.77,0,0,0,Y
2003,matt leonard,Stanford,DT,74.6,305,4.99,30,26,95,4.52,7.51,0,0,0,N
2003,rien long,Washington State,DT,78.1,302,5.08,,,105,,,1,1,1,Y
2003,eric manning,Oregon State,DT,73,303,5.09,26,28.5,107,4.54,7.76,0,0,0,N
2003,terrance martin,North Carolina State,DT,75,299,5.15,30,,,,,0,0,0,N
2003,jerome mcdougle,Miami (FL),DE,74,264,4.74,,34,117,4.54,7.28,0,0,0,Y
2003,bryant mcneal,Clemson,DE,76.4,248,4.86,22,34.5,117,,,0,0,0,Y
2003,clint mitchell,Florida,DE,78.9,257,4.93,16,34.5,115,4.31,7.34,0,0,0,Y
2003,langston moore,South Carolina,DT,73,303,5.05,29,32,104,4.21,7.63,0,0,0,Y
2003,kindal moorehead,Alabama,DE,74.5,285,5,22,32,104,4.51,7.71,0,0,0,Y
2003,calvin pace,Wake Forest,DE,76,269,4.8,,33,115,,,0,0,0,Y
2003,shurron pierson,South Florida,DE,73.9,243,4.63,,39,128,,,0,0,0,Y
2003,cory redding,Texas,DE,76,279,4.88,24,,,,,0,0,0,Y
2003,lauvale sape,Utah,DT,73.6,297,5.2,,31.5,111,4.68,7.72,0,0,0,Y
2003,ian scott,Florida,DT,75,312,5.16,28,28.5,99,5,8.12,0,0,0,Y
2003,jake sprague,Wisconsin,DT,74.1,274,4.97,26,,,,,0,0,0,N
2003,johnathan sullivan,Georgia,DT,75.1,313,5.07,,,,,,0,0,0,Y
2003,demetrin veal,Tennessee,DE,74.1,288,5.26,26,,111,,,0,0,0,Y
2003,matt walters,Miami (FL),DE,76.5,272,4.9,30,,,,,0,0,0,N
2003,ty warren,Texas A&M,DT,76.6,307,5.1,27,,,,,0,0,0,Y
2003,clifton washburn,Citadel (SC),DE,77.1,275,5.02,22,27,109,4.75,8.59,0,0,0,N
2003,dewayne white,Louisville,DE,74.1,273,4.78,22,33,112,4.22,7.22,1,0,1,Y
2003,jimmy wilkerson,Oklahoma,DE,74.9,271,4.86,29,34.5,114,4.38,7.44,0,0,0,Y
2003,andrew williams,Miami (FL),DE,74.3,263,4.69,29,32,113,4.44,7.53,0,0,0,Y
2003,kevin williams,Oklahoma State,DE,76.9,304,4.84,23,30,112,5.01,7.66,0,0,0,Y
2004,nathaniel adibi,Virginia Tech,DE,75.3,254,4.65,,33,118,4.36,,0,0,0,Y
2004,jared allen,Idaho State,DE,78,265,4.76,13,33,120,4.34,7.11,0,0,0,Y
2004,matthias askew,Michigan State,DT,77.4,308,5.24,20,27,101,4.42,7.55,0,0,0,Y
2004,jason babin,Western Michigan,DE,74.6,260,4.65,28,34,121,4.14,7.03,1,0,1,Y
2004,dave ball,UCLA,DE,77.4,277,5.07,24,,,,,1,1,1,Y
2004,ryon bingham,Nebraska,DT,75.4,303,5.14,33,30,109,4.38,7.44,0,0,0,Y
2004,ryan boschetti,UCLA,DT,76.4,306,5.15,,29.5,110,4.27,7.41,0,0,0,N
2004,jon bradley,Arkansas State,DT,73,306,5.09,19,26.5,104,4.85,7.88,0,0,0,N
2004,darrell campbell,Notre Dame,DT,75.6,302,5.21,25,33,111,4.66,7.63,0,0,0,N
2004,dietrich canterberry,Nevada Las Vegas,DT,74.9,308,5.35,26,,,,,0,0,0,N
2004,jordan carstens,Iowa State,DT,77.4,305,5.05,28,28.5,106,4.8,8.35,0,0,0,N
2004,ahmad childress,Alabama,DT,77.9,351,5.32,,22,86,4.94,8.75,0,0,0,N
2004,mondre dickerson,Tennessee,DT,76.1,316,5.12,29,27,106,,8.34,0,0,0,N
2004,darnell dockett,Florida State,DT,75.4,297,5,26,31,105,,,1,0,1,Y
2004,dwan edwards,Oregon State,DT,74.8,313,5.14,25,28,105,4.68,7.59,0,0,0,Y
2004,kevin emanuel,Florida State,DE,76,251,4.84,21,31,108,4.49,7.86,0,0,0,N
2004,robert geathers,Georgia,DE,74.9,271,4.91,24,33.5,112,,,0,0,0,Y
2004,roderick green,Central Missouri,DE,74.3,245,4.72,21,34.5,129,4.04,7.26,0,0,0,Y
2004,claude harriott,Pittsburgh,DE,75.6,252,4.71,25,30.5,118,4.25,7.44,0,0,0,Y
2004,tommie harris,Oklahoma,DT,74.5,295,4.68,29,,,,,1,1,1,Y
2004,marquise hill,Louisiana State,DE,78.6,305,4.9,23,29,106,,,0,0,0,Y
2004,cedric hilliard,Notre Dame,DT,73.5,307,5.17,26,29,110,4.75,8.22,0,0,0,N
2004,isaac hilton,Hampton (VA),DE,75.4,267,4.6,31,36.5,123,4.48,7.99,0,0,0,Y
2004,spencer johnson,Auburn,DT,74.9,286,5.12,19,30,111,4.53,7.78,0,0,0,N
2004,tank johnson,Washington,DT,74.8,304,4.74,31,34,114,4.6,7.56,0,0,0,Y
2004,trevor johnson,Nebraska,DE,76.6,260,4.81,23,35.5,110,4.08,7.06,0,0,0,Y
2004,tommy kelly,Mississippi State,DE,78,294,4.87,24,25,105,4.45,7.79,0,0,0,N
2004,travis laboy,Hawaii,DE,75.3,263,4.71,35,35.5,126,4.07,7.01,1,0,1,Y
2004,rodney leslie,UCLA,DT,75,309,5.15,31,,,,,0,0,0,N
2004,bobby mccray,Florida,DE,77.8,255,4.68,27,33.5,,,,0,0,0,Y
2004,nautyn mckayloescher,Alabama,DE,74,260,4.75,,,,,7.27,0,0,0,N
2004,gabe nyenhuis,Colorado,DE,75.3,269,4.78,25,39,124,4.03,6.92,0,0,0,N
2004,antwan odom,Alabama,DE,77.8,274,4.74,21,37,114,4.44,7.3,0,0,0,Y
2004,igor olshansky,Oregon,DT,77.3,315,5.01,41,33.5,110,4.41,7.61,0,0,0,Y
2004,uyi osunde,Connecticut,DE,75.1,252,4.75,33,,,,,0,0,0,N
2004,shaun phillips,Purdue,DE,75.1,255,4.83,,33,114,4.23,6.95,0,0,0,Y
2004,chad pugh,Texas Christian,DT,74.8,321,5.44,19,25,98,4.85,8.17,0,0,0,N
2004,constantin ritzmann,Tennessee,DE,75,259,4.97,24,29,108,4.48,7.39,0,0,0,N
2004,bo schobel,Texas Christian,DE,77,271,4.82,25,32.5,109,4.38,6.94,0,0,0,Y
2004,darrion scott,Ohio State,DE,75.1,289,4.84,,36.5,118,4.32,,0,0,0,Y
2004,andrew shull,Kansas State,DE,76.6,265,4.95,16,30.5,107,4.28,7.46,0,0,0,N
2004,junior siavii,Oregon,DT,76.5,344,5.18,31,24.5,93,4.84,7.93,0,0,0,Y
2004,antonio smith,Oklahoma State,DE,75.4,274,5.05,24,33,108,4.75,,0,0,0,Y
2004,isaac sopoaga,Hawaii,DT,74.3,317,5,42,30.5,99,4.66,7.79,0,0,0,Y
2004,randy starks,Maryland,DT,75.4,314,5.03,27,29.5,102,,,0,0,0,Y
2004,greg taplin,Michigan State,DE,77,267,5.09,,33,115,,,0,0,0,N
2004,craig terrill,Purdue,DT,74.5,290,5.23,28,26.5,100,4.1,7.39,0,0,0,Y
2004,reggie torbor,Auburn,DE,74.1,254,4.7,16,34,120,4.46,7.48,0,0,0,Y
2004,marcus tubbs,Texas,DT,76,321,5.05,29,32.5,105,,,0,0,0,Y
2004,khaleed vaughn,Clemson,DE,76.5,281,5.02,14,31.5,113,4.35,7.38,0,0,0,N
2004,donnell washington,Clemson,DT,77.5,332,5.03,34,31,109,4.88,7.8,0,0,0,Y
2004,vince wilfork,Miami (FL),DT,73.3,323,5.21,36,,,,,0,0,0,Y
2004,corey williams,Arkansas State,DT,76,313,5.18,25,28,,4.55,7.97,0,0,0,Y
2004,jeff womble,Florida State,DT,73.4,313,5.36,18,28,,,,0,0,0,N
2005,lorenzo alexander,California,DT,74,289,5.16,28,29.5,106,4.55,7.53,0,0,0,N
2005,adrian awasom,North Texas,DE,76,279,4.93,23,32.5,107,4.4,7.57,0,0,0,N
2005,jonathan babineaux,Iowa,DT,74.1,286,4.9,21,29.5,109,4.57,7.7,0,0,0,Y
2005,anthony bryant,Alabama,DT,75,337,5.1,23,31.5,106,4.68,7.8,0,0,0,Y
2005,tim bulman,Boston College,DT,75.5,294,4.94,35,32.5,115,4.2,7.23,0,0,0,N
2005,vincent burns,Kentucky,DE,72.4,267,4.9,25,35,119,4.41,7.24,0,0,0,Y
2005,larry burt,Miami (OH),DT,74,304,5.41,22,28,98,4.72,8.03,0,0,0,N
2005,luis castillo,Northwestern,DT,75.4,303,4.82,32,34.5,110,,,0,0,0,Y
2005,shaun cody,Southern California,DT,76,293,4.95,34,,,,,1,1,1,Y
2005,eric coleman,Clemson,DT,76.9,288,5.15,27,33,118,4.71,7.42,0,0,0,N
2005,chauncey davis,Florida State,DE,73.9,273,4.84,22,37,117,4.44,7.66,0,0,0,Y
2005,jim davis,Virginia Tech,DE,75.5,277,5.05,,34,108,4.23,7.11,0,0,0,N
2005,adell duckett,Texas Tech,DE,75.4,270,4.96,14,34.5,104,4.35,7.75,0,0,0,N
2005,clifford dukes,Michigan State,DE,75.5,268,4.98,28,31.5,,,,0,0,0,N
2005,atiyyah ellison,Missouri,DT,76.3,305,5.1,25,27.5,99,4.79,8,0,0,0,Y
2005,ronald fields,Mississippi State,DT,74.4,313,5.16,,27,100,4.68,8.01,0,0,0,Y
2005,simon fraser,Ohio State,DE,77.6,288,5.05,23,28,102,4.43,7.54,0,0,0,N
2005,andre frazier,Cincinnati,DE,76.6,234,4.72,19,38,123,4.12,7.09,0,0,0,N
2005,anttaj hawthorne,Wisconsin,DT,75.4,321,5.25,21,27,98,4.69,8,0,0,0,Y
2005,jovan haye,Vanderbilt,DE,74,284,4.77,33,34,110,4.35,7.38,0,0,0,Y
2005,erasmus james,Wisconsin,DE,76.1,266,4.86,,37.5,120,4.37,7.56,1,1,1,Y
2005,jason jefferson,Wisconsin,DT,74,310,5.1,,28.5,102,4.48,7.8,0,0,0,Y
2005,tyler king,Connecticut,DE,77.5,271,4.89,20,36,115,4.34,7.57,0,0,0,N
2005,khari long,Baylor,DE,75.6,257,4.76,27,38.5,121,4.07,7.22,0,0,0,Y
2005,lynn mcgruder,Oklahoma,DT,73.4,307,5.01,28,35.5,112,4.42,7.71,0,0,0,N
2005,david mcmillan,Kansas,DE,75,262,4.58,16,34,120,4.07,7.11,0,0,0,Y
2005,albert means,Memphis,DT,75.9,318,5.48,26,27,96,4.87,8.21,0,0,0,N
2005,shawne merriman,Maryland,DE,76.4,272,4.68,25,,,,,0,0,0,Y
2005,mike montgomery,Texas A&M,DE,76.9,276,5.08,19,34.5,115,4.32,7.38,0,0,0,Y
2005,eric moore,Florida State,DE,76.3,268,4.85,22,29.5,105,4.5,7.62,0,0,0,Y
2005,cj mosley,Missouri,DT,74,312,5.08,27,27.5,100,4.65,8.21,1,1,1,Y
2005,mike patterson,Southern California,DT,71.6,292,5.08,26,,,,,0,0,0,Y
2005,david pollack,Georgia,DE,74.1,265,4.81,25,37,118,3.9,6.86,1,1,1,Y
2005,brady poppinga,Brigham Young,DE,75.1,259,4.63,26,35.5,106,4.38,7.27,0,0,0,Y
2005,sione pouha,Utah,DT,76,325,5.02,32,32.5,107,4.49,7.84,0,0,0,Y
2005,ryan riddle,California,DE,73.8,256,4.82,18,,,,,0,0,0,Y
2005,derreck robinson,Iowa,DT,76.3,289,5.04,27,34.5,108,4.53,7.97,0,0,0,N
2005,matt roth,Iowa,DE,75.8,278,4.83,26,32,110,4.36,7.65,0,0,0,Y
2005,darrell shropshire,South Carolina,DT,74.3,301,4.9,25,34,114,4.31,7.54,0,0,0,Y
2005,marcus spears,Louisiana State,DE,76,307,5.03,15,,,,,1,1,1,Y
2005,bill swancutt,Oregon State,DE,76,270,5.03,23,34,113,4.24,7.35,1,0,1,Y
2005,benard thomas,Nebraska,DE,75.9,269,4.92,27,30,100,4.34,8.24,0,0,0,N
2005,jimmy verdon,Arizona State,DE,75.1,280,5.05,18,29.5,105,4.53,7.89,0,0,0,Y
2005,kevin vickerson,Michigan State,DT,77,310,5.07,,32.5,97,4.64,7.78,0,0,0,Y
2006,darrell adams,Villanova,DE,76.63,277,5.08,22,27,109,4.76,7.91,0,0,0,N
2006,titus adams,Nebraska,DT,75.38,306,5.12,15,30.5,103,4.54,7.49,0,0,0,Y
2006,victor adeyanju,Indiana,DE,76.25,274,4.88,22,32,112,4.41,7.37,0,0,0,Y
2006,mark anderson,Alabama,DE,76.25,254,4.65,20,42,127,4.22,6.95,0,0,0,Y
2006,sirhenry anderson,Oregon State,DT,75.88,306,5.22,27,28.5,100,4.55,7.69,0,0,0,N
2006,charles bennett,Clemson,DE,75.63,258,4.72,19,33.5,115,4.52,7.48,0,0,0,Y
2006,mckinley boykin,Mississippi,DT,73,289,5.04,30,30.5,109,4.75,,0,0,0,N
2006,manaia brown,Brigham Young,DT,74.88,301,5.12,21,34.5,111,4.47,7.63,0,0,0,N
2006,copeland bryan,Arizona,DE,75.63,253,4.94,16,33,117,4.3,7.11,0,0,0,N
2006,brodrick bunkley,Florida State,DT,74.75,306,4.96,44,32.5,113,,,0,0,0,Y
2006,barry cofield,Northwestern,DT,76,304,5,35,34,105,4.35,7.43,0,0,0,Y
2006,kader drame,Syracuse,DT,77,290,5.29,17,30.5,108,,8.12,0,0,0,N
2006,elvis dumervil,Louisville,DE,71.38,257,4.78,30,,,,,1,1,1,Y
2006,dusty dvoracek,Oklahoma,DT,74.75,306,5.07,31,34,110,4.35,7.62,0,0,0,Y
2006,ray edwards,Purdue,DE,76.75,273,4.82,30,39,114,4.57,7.71,0,0,0,Y
2006,chris gocong,Cal Poly,DE,74.13,263,4.7,28,38.5,123,4.08,7.06,0,0,0,Y
2006,kedric golston,Georgia,DT,76,300,4.94,31,33,111,4.45,7.6,0,0,0,Y
2006,marcus green,Ohio State,DT,73.25,295,5.19,33,31,108,4.86,7.62,0,0,0,N
2006,parys haralson,Tennessee,DE,73.25,253,4.84,24,32,115,4.26,7.37,0,0,0,Y
2006,jason hatcher,Grambling State (LA),DE,77.88,284,4.91,28,35.5,113,4.49,7.67,0,0,0,Y
2006,tommy jackson,Auburn,DT,72.38,304,5.24,26,31,104,4.6,7.72,0,0,0,N
2006,julian jenkins,Stanford,DE,75.63,277,5.09,25,34.5,110,4.23,7.11,0,0,0,Y
2006,johnny jolly,Texas A&M,DT,75.25,317,5.46,,,104,,,0,0,0,Y
2006,mathias kiwanuka,Boston College,DE,77.75,266,4.74,17,32,120,4.13,7.27,1,0,1,Y
2006,mike kudla,Ohio State,DE,73.63,265,4.77,45,37,114,4.45,7.21,0,0,0,N
2006,ryan lacasse,Syracuse,DE,74.38,257,4.62,34,34,113,4.3,7.25,0,0,0,Y
2006,jonathan lewis,Virginia Tech,DT,73.13,309,4.99,24,33.5,111,4.4,7.4,0,0,0,N
2006,john mccargo,North Carolina State,DT,73.5,302,5.19,25,30.5,110,4.48,7.79,0,0,0,Y
2006,stanley mcclover,Auburn,DE,74.38,262,4.72,19,39,114,4.5,7.87,0,0,0,Y
2006,jeremy mincey,Florida,DE,75.5,259,4.78,27,33.5,116,4.25,6.99,0,0,0,Y
2006,javon nanton,Miami (FL),DE,75.38,250,4.88,22,28.5,108,,,0,0,0,N
2006,haloti ngata,Oregon,DT,76.13,338,5.18,37,31.5,110,4.65,7.95,1,1,1,Y
2006,rob ninkovich,Purdue,DE,75.13,260,4.93,23,34.5,116,4.18,6.96,0,0,0,Y
2006,babatunde oshinowo,Stanford,DT,73.63,304,5.32,33,32,105,4.54,7.87,0,0,0,N
2006,domata peko,Michigan State,DT,74.75,307,5.28,25,28.5,103,4.49,7.69,0,0,0,Y
2006,frostee rucker,Southern California,DE,75.25,267,4.94,,29.5,110,,,0,0,0,Y
2006,lekevin smith,Nebraska,DT,74.88,316,5.03,30,30.5,109,4.92,7.93,0,0,0,N
2006,montavious stanley,Louisville,DT,74.13,313,5.18,,29,106,4.6,8.06,0,0,0,Y
2006,darryl tapp,Virginia Tech,DE,73.63,252,4.86,27,33,109,4.48,7.31,0,0,0,Y
2006,gabe watson,Michigan,DT,75.5,339,5.29,36,25,96,4.8,8.28,0,0,0,N
2006,mario williams,North Carolina State,DE,74.4,269,4.75,25,34,111,4.54,7.49,0,0,0,Y
2006,kamerion wimbley,Florida State,DE,75.88,248,4.64,24,38.5,129,4.48,6.97,0,0,0,Y
2006,rodrique wright,Texas,DT,77.13,300,5.11,31,32,110,4.51,7.84,1,1,1,Y
2006,james wyche,Syracuse,DE,77.4,262,4.66,27,33,116,4.51,7.75,0,0,0,Y
2007,victor abiamiri,Notre Dame,DE,76.25,267,4.85,25,,,,,0,0,0,Y
2007,gaines adams,Clemson,DE,76.75,258,4.67,,35,119,4.36,7.17,1,1,1,Y
2007,cj ah you,Oklahoma,DE,75.75,274,4.73,26,36.5,108,4.4,7.06,0,0,0,Y
2007,jay alford,Penn State,DT,75.38,304,5.21,,25.5,103,4.83,7.81,0,0,0,Y
2007,antwan applewhite,San Diego State,DE,74.88,250,4.76,25,35,115,4.36,7.5,0,0,0,N
2007,baraka atkins,Miami (FL),DE,76.5,271,4.7,22,33,111,,,0,0,0,Y
2007,dan bazuin,Central Michigan,DE,74.88,266,4.81,25,30,109,4.75,7.09,1,0,1,Y
2007,larry birdine,Oklahoma,DE,75.63,261,5.07,21,32,107,4.76,7.47,0,0,0,N
2007,alan branch,Michigan,DT,77.75,324,5.11,33,27.5,107,,,0,0,0,Y
2007,larry brown,Oklahoma State,DT,74.63,297,5.24,22,27,108,4.81,7.67,0,0,0,N
2007,mkristo bruce,Washington State,DE,77.75,268,5.16,21,29,106,4.8,7.38,0,0,0,N
2007,noland burchette,Virginia Tech,DE,73.88,259,4.73,15,,,,,0,0,0,N
2007,adam carriker,Nebraska,DE,78,296,4.92,33,33.5,110,4.18,7.06,0,0,0,Y
2007,jeremy clark,Alabama,DT,74.5,309,5.06,29,29,104,4.82,7.78,0,0,0,N
2007,joe cohen,Florida,DT,74.5,313,5.14,34,26,,,,0,0,0,Y
2007,tim crowder,Texas,DE,75.63,272,4.72,32,30.5,111,4.32,7.28,0,0,0,Y
2007,victor degrate,Oklahoma State,DE,74.63,249,4.8,19,,,,,0,0,0,N
2007,quintin echols,Kansas State,DT,72.88,328,5.43,25,,,,,0,0,0,N
2007,jacob ford,Central Arkansas,DE,75.63,249,4.68,19,,,,,0,0,0,Y
2007,justin harrell,Tennessee,DT,76.38,300,5.07,24,30.5,108,4.79,7.63,0,0,0,Y
2007,keith jackson,Arkansas,DT,72.25,305,5.07,33,30,,4.56,7.65,0,0,0,Y
2007,xzavie jackson,Missouri,DE,74.75,278,5.01,18,33,110,,,0,0,0,N
2007,antonio johnson,Mississippi State,DT,75,310,5.19,28,29,108,4.49,7.47,0,0,0,Y
2007,charles johnson,Georgia,DE,74.25,270,4.85,33,34,118,,7.5,0,0,0,Y
2007,ryan mcbean,Oklahoma State,DT,76.38,286,5.05,27,28,108,4.46,7.79,0,0,0,Y
2007,turk mcbride,Tennessee,DT,74.38,277,4.85,27,31,108,4.12,7.1,0,0,0,Y
2007,brandon mebane,California,DT,73.13,309,5.18,24,24,106,4.65,7.94,0,0,0,Y
2007,jay moore,Nebraska,DE,76.75,274,4.96,26,34,118,4.35,7.19,0,0,0,Y
2007,quentin moses,Georgia,DE,77.25,261,4.84,17,32,115,4.53,7.38,0,0,0,Y
2007,jarvis moss,Florida,DE,78.5,250,4.78,16,30.5,120,,,0,0,0,Y
2007,amobi okoye,Louisville,DT,74,302,5.07,29,30,111,,7.46,0,0,0,Y
2007,david patterson,Ohio State,DT,74.13,285,5.12,21,32.5,118,4.43,7.47,0,0,0,N
2007,quinn pitcock,Ohio State,DT,74.5,299,4.95,,34,112,,,1,1,1,Y
2007,jay richardson,Ohio State,DE,77.63,279,5.06,20,33,112,4.54,7.5,0,0,0,Y
2007,brian robison,Texas,DE,75.13,259,4.72,27,40.5,121,4.26,6.89,0,0,0,Y
2007,clifton ryan,Michigan State,DT,74.75,310,5.11,25,26.5,102,4.69,7.49,0,0,0,Y
2007,paul soliai,Utah,DT,76,344,5.12,,29.5,103,4.69,7.66,0,0,0,Y
2007,anthony spencer,Purdue,DE,74.88,261,4.73,30,32.5,112,4.43,7.14,0,0,0,Y
2007,marcus thomas,Florida,DT,74.75,314,5.18,27,,,,,0,0,0,Y
2007,matt toeaina,Oregon,DT,74,307,5.1,26,,,,,0,0,0,Y
2007,tank tyler,North Carolina State,DT,74.3,306,5.32,42,28.5,,,,0,0,0,N
2007,abraham wright,Colorado,DE,74,242,4.91,24,31,111,4.46,7.2,0,0,0,Y
2008,kentwan balmer,North Carolina,DT,76.5,308,5.31,33,29,103,4.82,7.65,0,0,0,N
2008,red bryant,Texas A&M,DT,76.13,318,5.06,20,28,111,4.64,7.75,0,0,0,Y
