year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,wonaward,outland,drafted
2000,manuia savea,Arizona,OG,74.3,308,5.34,24,25,92,,,0,0,Y
2000,wes shivers,Mississippi State,OT,77.4,318,5.68,18,22.5,98,4.81,8.48,0,0,Y
2000,marvel smith,Arizona State,OT,77,320,5.34,24,27.5,100,4.84,7.87,0,0,Y
2000,john stclair,Virginia,C,77,302,5.2,25,,,,,0,0,N
2000,mark tauscher,Wisconsin,OG,75.4,318,5.43,22,27,90,4.84,7.91,0,0,Y
2000,jason thomas,Hampton (VA),OG,75.4,300,5.24,23,29.5,100,,7.99,0,0,Y
2000,michael thompson,Tennessee State,OT,76.5,305,5.3,16,26,104,4.73,7.99,0,0,Y
2000,ryan tujague,Washington State,OG,77.1,297,5.2,21,27,96,4.95,8.18,0,0,N
2000,andy vincent,Texas A&M,OG,76,306,5.2,14,28.5,108,4.42,7.54,0,0,N
2000,todd wade,Mississippi,OT,79.9,326,5.25,29,27.5,101,4.68,7.68,0,0,Y
2000,bobby williams,Arkansas,OT,75.8,332,5.34,28,29,97,4.72,7.78,0,0,N
2001,tom ashworth,Colorado,OG,77.8,293,5.11,20,33.5,109,4.3,7.4,0,0,N
2001,jeff backus,Michigan,OT,77.5,310,5.29,25,27,99,4.67,8.27,0,0,Y
2001,jarvis borum,North Carolina State,OG,79.1,332,5.04,25,30.5,107,4.83,8.08,0,0,N
2001,will cuthbert,Alabama,OG,77.1,318,5.75,17,24.5,91,5.06,8.84,0,0,N
2001,rick demulling,Idaho,OG,75.9,307,5.29,32,31.5,108,4.6,7.62,0,0,Y
2001,ryan diem,Northern Illinois,OT,78.9,338,5.14,,34,102,4.46,7.5,0,0,Y
2001,charron dorsey,Florida State,OT,77.6,348,6.03,16,,,,,0,0,Y
2001,shawn draper,Alabama,OG,75.4,303,5.28,17,32,106,4.77,8.1,0,0,Y
2001,bill ferrario,Wisconsin,OG,74.3,314,5.3,17,,,,,0,0,N
2001,kynan forney,Hawaii,OG,74.4,312,5.29,23,27,97,4.7,8.56,0,0,Y
2001,mike gandy,Notre Dame,OG,76.4,305,5.2,,30.5,103,4.71,8.03,0,0,Y
2001,roberto garza,Texas A&M-Kingsville,C,74.1,303,5.01,37,32.5,114,4.53,7.71,0,0,Y
2001,adam haayer,Minnesota,OG,78.1,298,5.3,23,,,,,0,0,Y
2001,russ hochstein,Nebraska,OG,75.5,300,5.43,16,26.5,95,4.69,7.85,0,0,Y
2001,paul hogan,Alabama,C,75,290,5.46,26,29,102,4.54,7.78,0,0,N
2001,jonas jennings,Georgia,OT,75.6,334,5.27,31,29.5,102,4.93,8.08,0,0,Y
2001,kenyatta jones,South Florida,OT,75,308,5.02,31,,,,,0,0,Y
2001,michael keathley,Texas Christian,OG,75.6,308,5.22,28,32.5,,,,0,0,N
2001,matt lehr,Virginia Tech,OG,74,290,5.28,28,31.5,111,4.44,7.59,0,0,Y
2001,victor leyva,Arizona State,OG,75.4,313,5.33,37,30,105,4.73,8,0,0,Y
2001,matt light,Purdue,OT,76.8,311,5.3,26,,,4.49,7.84,0,0,Y
2001,lashaun mack,Norfolk State (VA),C,75,299,5.56,17,26.5,92,4.99,8.59,0,0,N
2001,kareem mckenzie,Penn State,OT,77.9,328,5.28,20,33,104,4.8,7.87,0,0,Y
2001,mathias nkwenti,Temple,OG,76,293,5.57,29,35.5,113,4.18,7.66,0,0,Y
2001,dennis norman,Princeton,OG,75.9,305,5.16,25,35,107,4.72,8.08,0,0,Y
2001,chukky okobi,Purdue,C,73,316,5.33,24,32.5,103,4.61,7.87,0,0,N
2001,tupe peko,Michigan State,C,75.9,300,5.36,18,28,92,4.56,8.1,0,0,N
2001,casey rabach,Wisconsin,C,76.5,298,5.23,19,34.5,,,,0,0,Y
2001,ray redziniak,Illinois,OG,74.6,296,5.46,32,27,92,4.77,8.17,0,0,N
2001,bernard robertson,Tulane (LA),OG,74.9,308,5.24,19,30,106,4.58,8.06,0,0,Y
2001,kendrick rogers,Central Missouri,OT,77,311,5.16,23,,,,,0,0,N
2001,elliot silvers,Washington,OT,78.9,348,5.42,19,31.5,99,4.66,7.81,0,0,Y
2001,omar smith,Kentucky,OG,73.6,293,5.27,21,30,98,,,0,0,N
2001,tim stuber,Colorado State,OG,77,315,5.6,22,28,96,4.75,8.06,0,0,N
2001,alex sulfsted,Miami (OH),OG,75.9,312,5.3,,30.5,96,,,0,0,Y
2001,marques sullivan,Illinois,OT,77.1,338,5.31,28,30.5,98,4.8,8.36,0,0,Y
2001,tarlos thomas,Florida State,OT,77.4,336,5.55,19,25,92,4.9,8.6,0,0,N
2001,albert traylor,Northwestern State (LA),OG,74.8,307,5.41,20,27,96,,8.34,0,0,N
2001,chris valletta,Texas A&M,OG,75,299,5.32,18,33.5,98,4.53,7.9,0,0,N
2001,patrick venzke,Idaho,OT,78,303,5.21,,34,103,4.59,8.08,0,0,N
2001,keydrick vincent,Mississippi,OG,77,328,5.59,23,32.5,94,,,0,0,N
2001,kenyatta walker,Florida,OT,76.9,311,5.18,24,31.5,109,4.6,7.7,0,0,Y
2001,chad ward,Washington,OG,76.4,321,5.2,26,32.5,99,4.9,7.98,0,0,Y
2001,louis williams,Louisiana State,OG,76.4,299,5.44,25,28.5,103,4.67,7.86,0,0,Y
2001,maurice williams,Michigan,OT,77,304,5.2,24,,,,,0,0,Y
2001,floyd womack,Mississippi State,OG,76,345,5.57,23,29.5,97,4.96,8.78,0,0,Y
2001,paul zukauskas,Boston College,OG,77.1,307,5.3,22,,,,,0,0,Y
2002,pj alexander,Syracuse,OG,76,299,5.38,,29.5,102,4.73,7.9,0,0,N
2002,matt anderle,Minnesota,OT,78,327,5.55,26,29,101,4.8,7.99,0,0,Y
2002,jason ball,New Hampshire,C,74.3,301,5.43,27,29,92,4.73,7.87,0,0,N
2002,kevin barry,Arizona,OG,76,325,5.36,24,28.5,106,4.73,8.34,0,0,N
2002,martin bibla,Miami (FL),OG,75.4,306,5.08,35,,,,,0,0,Y
2002,pete campion,North Dakota State,OG,76.1,307,5.25,30,25.5,86,4.81,7.96,0,0,Y
2002,reggie coleman,Tennessee,OT,77.1,301,5.25,,29,102,4.88,7.84,0,0,Y
2002,michael collins,Wake Forest,OT,77.5,300,5.55,32,25.5,98,4.98,8.62,0,0,N
2002,marc colombo,Boston College,OT,79.9,313,5.31,30,29.5,100,4.6,7.65,0,0,Y
2002,alonzo cunningham,Iowa,OG,75.8,316,5.47,,24,94,4.73,8.52,0,0,N
2002,konrad dean,Akron,OG,76,333,5.57,30,27.5,97,4.97,8.37,0,0,N
2002,howard duncan,Oklahoma,OG,75.6,324,5.51,22,28.5,97,4.69,8.31,0,0,N
2002,andy eby,Kansas State,C,75.4,300,5.12,28,29,102,4.55,7.46,0,0,N
2002,steve edwards,Central Florida,OG,76.8,355,5.57,20,23,90,5.15,8.37,0,0,N
2002,toniu fonoti,Nebraska,OG,75.9,349,5.53,32,28.5,94,4.81,8.12,0,0,Y
2002,melvin fowler,Maryland,C,75,300,5.46,32,27,99,4.6,7.51,0,0,Y
2002,jonathan goodwin,Michigan,OG,75.3,318,5.04,,,,,,0,0,Y
2002,eric heitmann,Stanford,OG,75.9,305,5.25,33,28,94,4.6,7.56,0,0,Y
2002,artis hicks,Memphis,OG,77,303,5.08,22,29.5,104,4.64,7.85,0,0,N
2002,matt hill,Boise State,OT,78.1,300,5.35,20,28.5,98,4.54,7.58,0,0,Y
2002,jermese jones,Virginia,OT,77.4,337,5.28,22,,,,,0,0,N
2002,levi jones,Arizona State,OT,77.5,304,5.23,,,102,,,0,0,Y
2002,antwan kirkhughes,Texas,OG,75,315,5.43,,27,92,4.91,8.28,0,0,N
2002,kyle kosier,Arizona State,OT,76.8,293,5.09,24,29.5,107,4.49,7.34,0,0,N
2002,broderick lancaster,Colorado State,OG,75.6,310,5.28,14,,,,,0,0,N
2002,tango mccauley,Alabama State,OG,75.4,304,5.28,29,31,97,4.78,7.9,0,0,N
2002,curt mcgill,Georgia,C,75.4,290,5.08,30,,,,,0,0,N
2002,seth mckinney,Texas A&M,C,75.4,300,4.99,23,33.5,104,4.51,7.36,0,0,Y
2002,ben miller,Air Force,C,74.5,263,4.93,18,37.5,113,4.46,7.28,0,0,N
2002,quasim mitchell,North Carolina A&T,OG,78,335,5.29,22,26,,4.94,8.07,0,0,N
2002,shannon money,Arkansas,OG,75.4,295,5.29,25,33.5,105,,,0,0,N
2002,marquise muldrow,Arizona State,OG,74.1,316,5.33,29,25.5,97,4.8,8.12,0,0,N
2002,melvin paige,South Carolina,OG,77,314,5.35,30,23.5,,,,0,0,N
2002,scott peters,Arizona State,C,75.3,300,5.14,36,33.5,95,4.69,7.68,0,0,Y
2002,dwayne pierce,Louisiana State,OG,74,319,5.51,,26,91,5.23,8.12,0,0,N
2002,chester pitts,San Diego State,OT,75.6,320,5.22,,30,104,4.81,7.84,0,0,Y
2002,mike pucillo,Auburn,OG,75.9,317,5.31,26,28,,,,0,0,Y
2002,zach quaccia,Stanford,C,75.9,309,5.37,23,26.5,91,4.6,7.9,0,0,N
2002,victor rogers,Colorado,OG,78.1,331,5.58,20,25,92,5.16,9,0,0,Y
2002,frank romero,Oklahoma,OG,76,300,5.32,22,27.5,87,4.79,7.66,0,0,N
2002,jason scukanec,Brigham Young,C,74.1,304,5.38,30,29,98,4.59,7.87,0,0,N
2002,kendall simmons,Auburn,OG,74.6,311,5.34,24,28.5,98,4.71,7.84,0,0,Y
2002,ed taamu,Utah,OG,73.9,335,5.26,28,29,,,,0,0,N
2002,kurt vollers,Notre Dame,OT,79.1,321,5.39,30,30.5,,,,0,0,N
2002,langston walker,California,OT,80,344,5.26,21,28.5,102,4.95,8.09,0,0,Y
2002,mike williams,Texas,OT,77.6,375,5.3,29,30,100,,,0,0,Y
2003,justin bates,Colorado,OG,75.9,300,5.46,18,,,,,0,0,Y
2003,jordan black,Notre Dame,OT,77.9,314,5.21,,30,106,4.47,7.65,0,0,Y
2003,jeremy bridges,Southern Mississippi,OG,76.1,301,5.45,25,28.5,96,4.74,8.12,0,0,Y
2003,lucas brigman,Nebraska-Omaha,C,72.4,308,5.44,26,27,101,4.6,7.99,0,0,N
2003,ben claxton,Mississippi,C,74.6,301,5.34,,27,102,4.65,7.81,0,0,Y
2003,brennan curtin,Notre Dame,OT,81.1,318,5.3,,32,100,4.84,7.97,0,0,Y
2003,anthony davis,Virginia Tech,OG,76.4,329,5.41,,27.5,95,4.91,8.25,0,0,N
2003,enoch demar,Indiana,OG,75.9,334,5.67,22,22.5,90,5.08,8.35,0,0,N
2003,david diehl,Illinois,OG,78,310,5.26,22,28,96,4.97,8.1,0,0,Y
2003,robbie doane,Texas,OG,78.1,311,5.42,,24.5,85,4.73,8.01,0,0,N
2003,gus felder,Penn State,OG,74.9,324,5.9,,23.5,94,5.48,9.09,0,0,N
2003,george foster,Georgia,OT,77.4,338,5.23,,27,100,,,0,0,Y
2003,makoa freitas,Arizona,OG,76,307,5.1,36,24.5,95,4.86,8.22,0,0,Y
2003,kwame harris,Stanford,OT,79,310,5.22,,35.5,107,4.58,7.97,0,0,Y
2003,montrae holland,Florida State,OG,73.5,333,5.3,30,,,5.12,8.45,0,0,Y
2003,wayne hunter,Hawaii,OT,77.6,303,5.16,37,31,104,4.54,7.72,0,0,Y
2003,jason jimenez,Southern Mississippi,OT,78.9,311,5.31,18,30,96,4.64,8.47,0,0,N
2003,ben johnson,Wisconsin,OT,78.5,329,5.37,30,,,,,0,0,Y
2003,garry johnson,Arkansas State,OT,76,289,5.28,17,24.5,97,4.89,8.27,0,0,N
2003,jason jowers,Wisconsin,OG,78.4,319,5.5,,29.5,101,4.82,8.3,0,0,N
2003,austin king,Northwestern,C,75.9,299,5.57,20,28,106,4.72,7.99,0,0,Y
2003,scott kooistra,North Carolina State,OT,77.9,316,5.18,28,31,103,4.57,7.93,0,0,Y
2003,dan koppen,Boston College,C,74.6,297,5.31,27,28.5,101,4.46,8.24,0,0,Y
2003,damian lavergne,Louisiana Tech,OT,78,333,5.57,17,27,92,4.82,8.43,0,0,N
2003,pete lougheed,Purdue,OT,76.8,300,5.18,20,28.5,93,4.5,7.85,0,0,N
2003,sean mahan,Notre Dame,OG,75,301,5.16,30,30,105,4.75,7.75,0,0,Y
2003,vince manuwai,Hawaii,OG,74,304,5.19,27,29.5,107,4.37,7.57,0,0,N
2003,kareem marshall,Georgia,OT,76.6,359,5.22,,27.5,92,,,0,0,N
2003,gene mruczkowski,Purdue,C,74.6,297,5.19,28,,,,,0,0,N
2003,bruce nelson,Iowa,C,77.3,301,5.26,21,,,,,0,0,Y
2003,lance nimmo,West Virginia,OT,77.3,303,5.33,20,27,90,4.93,8.19,0,0,Y
2003,will ofenheusle,Tennessee,OT,78.5,308,5.35,23,26.5,94,4.92,8.65,0,0,N
2003,tony pashos,Illinois,OT,78,337,5.3,38,,,,,0,0,Y
2003,david porter,Iowa,OT,77.9,311,5.34,,26,95,4.96,8.43,0,0,N
2003,tim provost,San Jose State,OT,77.1,301,5.3,21,28.5,102,4.67,8.37,0,0,Y
2003,dustin rykert,Brigham Young,OT,78.4,327,5.52,21,26.5,92,4.83,8.19,0,0,Y
2003,watts sanderson,South Carolina,OT,77,303,5.39,24,28.5,100,4.92,8.47,0,0,N
2003,justin sands,Kansas,OG,78.9,324,5.07,31,32,105,,,0,0,N
2003,greg schindler,Stanford,OG,77.1,307,5.1,18,30.5,94,5.07,8.55,0,0,N
2003,steve sciullo,Marshall (WV),OT,77.1,330,5.52,23,28,98,4.65,7.84,0,0,Y
2003,chad setterstrom,Northern Iowa,OG,75.1,309,5.46,16,28.5,101,4.61,7.91,0,0,N
2003,wade smith,Memphis,OT,75.9,296,5.15,24,32.5,114,4.71,7.6,0,0,Y
2003,ben sobieski,Iowa,OG,77.3,307,5.01,18,30,109,4.43,7.69,0,0,Y
2003,jamil soriano,Harvard,OG,76,317,5.48,,27.5,103,5.08,8.54,0,0,N
2003,jon stinchcomb,Georgia,OT,77,302,5.09,32,35,115,4.58,7.83,0,0,N
2003,scott tercero,California,OG,76,303,5.23,25,28.5,103,4.51,7.81,0,0,Y
2003,tony terrell,Nevada Las Vegas,OG,75.3,334,5.52,25,25.5,94,4.97,8.6,0,0,N
2003,torrin tucker,Southern Mississippi,OG,77.8,328,5.43,,30,103,4.96,8.38,0,0,N
2003,seth wand,Northwest Missouri State,OT,79,321,5.15,20,31.5,107,4.5,7.57,0,0,Y
2003,reggie wells,Clarion (PA),OT,75.3,300,5.2,23,29,104,4.53,8.34,0,0,Y
2003,taylor whitley,Texas A&M,OG,75.9,321,5.2,28,30,106,4.55,7.95,0,0,Y
2003,brett williams,Florida State,OT,76.8,321,5.28,,27.5,99,5.01,8.57,0,0,Y
2003,todd williams,Florida State,OT,76.8,340,5.14,27,32.5,108,4.54,8.06,0,0,Y
2004,stacy andrews,Mississippi,OT,78.1,342,5.07,34,30.5,106,4.78,8.09,0,0,Y
2004,jacob bell,Miami (OH),OG,76.8,302,5.22,26,,,,,0,0,Y
2004,sean bubin,Illinois,OT,78.5,306,5.29,25,24.5,97,4.76,7.66,0,0,Y
2004,kelly butler,Purdue,OT,79.4,320,5.12,,30.5,105,4.92,7.96,0,0,Y
2004,vernon carey,Miami (FL),OG,76.4,335,5.32,30,,,,,0,0,Y
2004,marko cavka,Sacramento State (CA),OT,79,294,5.17,27,27.5,107,4.4,7.57,0,0,Y
2004,toby cecil,Texas Tech,C,76,297,5.25,19,,85,4.98,8.31,0,0,N
2004,kirk chambers,Stanford,OT,79.3,313,5.51,22,27,101,4.4,7.56,0,0,Y
2004,quinn christensen,Brigham Young,OG,77.9,312,5.1,32,,,,,0,0,N
2004,tyson clabo,Wake Forest,OG,78.9,315,5.45,24,30,100,4.88,8.09,0,0,N
2004,adrien clarke,Ohio State,OG,77,329,5.49,,26,102,4.74,7.9,0,0,Y
2004,regis crawford,Arizona State,OG,74,316,6.07,,,,4.86,8.03,0,0,N
2004,trey darilek,Texas-El Paso,OG,76,301,5.23,22,28.5,110,4.66,7.85,0,0,Y
2004,nat dorsey,Georgia Tech,OT,79,322,5.46,26,28.5,102,4.89,8.3,0,0,Y
2004,khiawatha downey,Indiana (PA),OG,76.1,332,5.47,21,26.5,98,4.82,8.01,0,0,N
2004,rex hadnot,Houston,C,74.1,323,5.51,27,24.5,91,4.66,7.94,0,0,Y
2004,antonio hall,Kentucky,OG,75.4,317,5.53,27,26.5,101,4.55,8.12,0,0,N
2004,nick hardwick,Purdue,C,75.5,295,5.2,27,34,108,4.55,7.72,0,0,Y
2004,joseph hayes,San Jose State,OG,76.4,311,5.65,18,23,94,5.12,8.25,0,0,N
2004,scott jackson,Brigham Young,C,76.1,300,4.94,28,30.5,105,4.52,7.84,0,0,N
2004,adrian jones,Kansas,OT,76.3,296,4.95,27,31,114,4.58,7.81,0,0,Y
2004,carlos joseph,Miami (FL),OT,77.9,345,5.25,29,,,,,0,0,Y
2004,nick leckey,Kansas State,C,74.9,290,5.23,18,27,97,4.47,7.71,0,0,Y
2004,brad lekkerkerker,UC-Davis,OT,79,317,5.39,23,27.5,102,4.71,7.94,0,0,N
2004,sean locklear,North Carolina State,OG,76,308,5.19,27,29,100,4.56,7.85,0,0,Y
2004,dylan mcfarland,Montana,OT,77.9,304,5.26,31,27.5,98,,,0,0,Y
2004,jim molinaro,Notre Dame,OT,77.9,308,5.09,21,29.5,105,4.6,7.75,0,0,Y
2004,shane olivea,Ohio State,OT,74.9,302,5.25,,29,92,4.71,8.25,0,0,Y
2004,tony pape,Michigan,OT,78.1,323,5.35,26,27,97,4.6,8.01,0,0,Y
2004,josh parrish,Washington State,OT,77.9,330,5.39,20,28,104,4.61,8.24,0,0,N
2004,stephen peterman,Louisiana State,OG,76,312,5.45,23,24.5,95,4.68,7.87,0,0,Y
2004,alan reuber,Texas A&M,OG,78.3,323,5.52,26,29,98,4.91,7.95,0,0,N
2004,brian rimpf,East Carolina (NC),OT,77.6,319,5.4,31,28,105,4.66,7.97,0,0,Y
2004,jake scott,Idaho,OT,76.9,281,5.04,24,34.5,110,4.68,7.96,0,0,Y
2004,josh sewell,Nebraska,C,73.6,301,5.06,30,30,99,4.24,7.53,0,0,Y
2004,kurt sigler,Eastern Washington,C,77,306,5.84,,24,93,4.72,8.09,0,0,N
2004,justin smiley,Alabama,OG,75.3,298,5,19,32,111,4.41,7.72,0,0,Y
2004,chris snee,Boston College,OG,74.8,314,5.1,29,30.5,104,4.66,7.75,0,0,Y
2004,shannon snell,Florida,OG,76.4,316,5.8,21,25.5,93,4.91,8.38,0,0,N
2004,max starks,Florida,OT,79,350,5.43,21,27.5,98,4.65,7.88,0,0,Y
2004,alex stepanovich,Ohio State,C,75.4,304,5.26,,25.5,96,4.44,7.64,0,0,Y
2004,drew strojny,Duke,OT,79.1,327,5.38,,29.5,99,4.84,7.98,0,0,Y
2004,jeb terry,North Carolina,OG,77.3,313,5.18,27,29,105,4.98,8.03,0,0,Y
2004,scott wells,Tennessee,C,73.9,300,5.26,31,31,109,4.35,7.56,0,0,Y
2004,travelle wharton,South Carolina,OT,75.6,312,5.12,,31.5,105,4.58,8.31,0,0,Y
2004,mark wilson,California,OT,78.8,314,5.38,24,28.5,108,4.49,7.53,0,0,Y
2005,anthony alabi,Texas Christian,OT,77.13,310,5.23,18,32.5,100,4.6,7.62,0,0,Y
2005,calvin armstrong,Washington State,OT,79.13,325,5.52,26,34,93,4.66,7.62,0,0,Y
2005,khalif barnes,Washington,OT,77.75,305,4.99,26,35,104,4.54,7.57,0,0,Y
2005,joe berger,Michigan Tech,OT,77.5,303,5.2,30,27,96,4.62,7.77,0,0,Y
2005,wesley britt,Alabama,OT,80,314,5.3,24,,,,,0,0,Y
2005,cj brooks,Maryland,OG,77.5,309,5.17,24,31.5,108,4.56,7.61,0,0,N
2005,jason brown,North Carolina,C,74.8,313,5.5,23,30.5,102,4.51,7.72,0,0,Y
2005,tim brown,West Virginia,OT,76.5,318,5.67,23,29,89,4.92,7.84,0,0,N
2005,doug buckles,Mississippi,OG,77.3,311,5.52,18,23.5,88,4.8,8.17,0,0,N
2005,dan buenning,Wisconsin,OG,75.9,320,5.35,29,28,106,4.59,7.9,0,0,Y
2005,jonathan clinkscale,Wisconsin,OG,74.3,315,5.52,,27.5,93,,,0,0,N
2005,jon colon,Florida,OT,79.25,317,5.64,,25.5,82,4.89,8.03,0,0,N
2005,dan connolly,Southeast Missouri State,OT,75.63,311,5.26,22,28.5,102,4.54,7.65,0,0,N
2005,junius coston,North Carolina A&T,C,75.4,310,5.34,21,29.5,101,4.56,7.93,0,0,Y
2005,harvey dahl,Nevada,OT,78.13,299,5.42,17,27,99,4.58,8.16,0,0,N
2005,jon dunn,Virginia Tech,OT,79.25,328,5.44,,,,,,0,0,Y
2005,trai essex,Northwestern,OT,76.5,324,5.63,,29,91,4.92,8.11,0,0,Y
2005,dylan gandy,Texas Tech,OG,75,304,5.18,,29.5,100,4.51,7.62,0,0,Y
2005,justin geisinger,Vanderbilt,OT,75.75,322,5.38,34,25,92,4.62,7.87,0,0,Y
2005,eric ghiaciuc,Central Michigan,C,76,302,5.14,30,32,102,4.56,7.87,0,0,Y
2005,geoff hangartner,Texas A&M,C,77,301,5.25,26,28.5,100,4.52,7.62,0,0,Y
2005,drew hodgdon,Arizona State,C,74.8,309,5.31,,32,108,4.45,7.49,0,0,Y
2005,rob hunt,North Dakota State,C,75.8,301,5.02,31,34.5,107,4.48,7.53,0,0,N
2005,richie incognito,Nebraska,C,75.3,305,4.92,29,,,,,0,0,Y
2005,marcus johnson,Mississippi,OG,78.5,321,5.56,21,27.5,97,4.71,7.71,0,0,Y
2005,nick kaczur,Toledo,OT,76.5,319,5.3,,31.5,,,,0,0,Y
2005,chris kemoeatu,Utah,OG,75.5,344,5.36,26,29,97,4.54,7.75,0,0,Y
2005,adam kieft,Central Michigan,OT,79,337,5.52,28,33,110,4.77,7.8,0,0,Y
2005,sam lightbody,Washington State,OT,81,321,5.66,,30,108,4.41,7.95,0,0,N
2005,daniel loper,Texas Tech,OT,78,306,5.35,14,31,98,4.68,7.74,0,0,Y
2005,logan mankins,Frenso State (CA),OG,76.1,307,5.14,21,30,95,4.44,7.52,0,0,Y
2005,evan mathis,Alabama,OG,77.3,304,4.96,35,34,117,4.16,7.37,0,0,Y
2005,pete mcmahon,Iowa,OT,79.6,329,5.45,26,25.5,90,4.8,7.97,0,0,Y
2005,scott mruczkowski,Bowling Green (OH),C,76.5,321,5.29,28,,,,,0,0,Y
2005,chris myers,Miami (FL),OG,76.6,300,5.18,25,,,,,0,0,Y
2005,doug nienhuis,Oregon State,OG,77.8,307,5.18,22,28.5,95,4.47,7.5,0,0,Y
2005,frank omiyale,Tennessee Tech,OT,76.3,310,5.4,22,28.5,101,4.72,8.19,0,0,Y
2005,jeremy parquet,Southern Mississippi,OT,78.8,323,5.34,17,28.5,88,4.8,7.95,0,0,Y
2005,duke preston,Illinois,C,77.1,311,5.42,21,32,96,4.45,7.57,0,0,Y
2005,leon robinson,Georgia Tech,OG,76,314,5.25,22,34.5,108,4.76,8.27,0,0,N
2005,michael roos,Eastern Washington,OT,78.6,320,5.28,19,29,96,4.5,7.72,0,0,Y
2005,wes sims,Oklahoma,OT,77,318,5.42,26,28,104,4.43,7.68,0,0,Y
2005,adam snyder,Oregon,OG,77.4,316,5.37,21,28.5,93,4.83,7.83,0,0,Y
2005,chris spencer,Mississippi,C,74.9,309,5.24,26,29,104,4.59,8.06,0,0,Y
2005,nick steitz,Oregon,OG,75.5,312,5.6,,29.5,97,4.65,8.16,0,0,N
2005,david stewart,Mississippi State,OT,78.5,314,5.25,24,,,,,0,0,Y
2005,claude terrell,New Mexico,OG,74.3,343,5.41,27,24.5,88,4.75,8.17,0,0,Y
2005,adam terry,Syracuse,OT,80,330,5.43,,26.5,95,4.78,7.89,0,0,Y
2005,mike watson,West Virginia,OT,76.1,316,5.51,,27.5,95,,,0,0,N
2005,sam wilder,Colorado,OT,76.9,298,5.39,23,26.5,99,4.5,7.43,0,0,N
2005,ray willis,Florida State,OT,77.6,327,5.4,27,,,,,0,0,Y
2005,scott young,Brigham Young,OG,75.6,312,5.07,43,32.5,115,4.37,7.46,0,0,Y
2006,kevin boothe,Cornell (NY),OT,76.75,316,5.44,23,31.5,98,5.07,8.36,0,0,Y
2006,rashad butler,Miami (FL),OT,76.63,293,5.32,16,28,106,4.55,7.9,0,0,Y
2006,chris chester,Oklahoma,C,75.38,303,4.91,27,31.5,106,4.5,7.31,0,0,Y
2006,jeromey clary,Kansas State,OT,78.13,309,5.34,24,26,102,4.63,7.8,0,0,Y
2006,daryn colledge,Boise State,OT,76.38,299,5.07,21,32.5,110,4.58,7.43,0,0,Y
2006,ryan cook,New Mexico,OT,78.63,328,5.49,28,26.5,97,4.66,7.93,0,0,Y
2006,mike degory,Florida,C,77.5,305,5.45,24,26,98,4.67,8.03,0,0,N
2006,jhari evans,Bloomsburg,OT,76.5,316,5.25,20,27,95,4.8,7.98,0,0,N
2006,max jeangilles,Georgia,OG,75.75,355,5.54,27,24.5,95,5.08,8.56,0,0,Y
2006,davin joseph,Oklahoma,OG,74.63,311,5.13,24,32,111,4.97,,0,0,Y
2006,chris kuper,North Dakota,OG,76.38,301,5.12,24,30,109,4.6,7.59,0,0,Y
2006,nick mangold,Ohio State,C,75.63,300,5.09,24,27.5,104,4.36,7.47,0,0,Y
2006,jimmy martin,Virginia Tech,OT,77,303,5.26,25,31,101,,,0,0,Y
2006,fred matua,Southern California,OG,74.38,306,5.04,28,24.5,93,4.76,7.87,0,0,Y
2006,paul mcquistan,Weber State (UT),OT,78.13,312,5.11,28,29.5,110,4.62,7.72,0,0,Y
2006,rob meadow,Washington,OG,76.88,324,5.42,29,24,99,4.73,7.94,0,0,N
2006,will montgomery,Virginia Tech,C,75,312,5.12,35,29.5,104,4.43,7.4,0,0,Y
2006,ryan ocallaghan,California,OT,78.63,344,5.4,21,25,92,,,0,0,Y
